13,6,0.550081,0.352500,0.097419
49,6,0.572659,0.332357,0.094984
105,6,0.605688,0.302624,0.091688
239,6,0.668654,0.243921,0.087425
110,7,0.608534,0.300027,0.091439
270,7,0.680314,0.232492,0.087194
53,8,0.575455,0.329834,0.094712
131,8,0.619721,0.289803,0.090476
88,9,0.596572,0.310846,0.092582
97,9,0.601707,0.306210,0.092082
244,9,0.671016,0.241641,0.087344
78,10,0.590864,0.315966,0.093170
254,10,0.674910,0.237840,0.087250
174,11,0.641357,0.269767,0.088876
10,13,0.549150,0.353242,0.097608
200,13,0.653546,0.258302,0.088152
29,14,0.561291,0.342454,0.096255
62,14,0.581875,0.324015,0.094110
123,14,0.616376,0.292813,0.090810
141,15,0.625794,0.284172,0.090035
201,15,0.654265,0.257613,0.088122
167,17,0.638904,0.272016,0.089080
39,18,0.568106,0.336336,0.095558
219,18,0.662328,0.249950,0.087721
14,19,0.552480,0.350214,0.097306
200,19,0.654411,0.257457,0.088132
204,19,0.656141,0.255821,0.088037
220,19,0.662888,0.249416,0.087696
100,20,0.604774,0.303303,0.091922
127,20,0.619268,0.290122,0.090610
151,21,0.631626,0.278740,0.089635
188,21,0.649310,0.262245,0.088445
88,22,0.598242,0.309172,0.092585
231,23,0.667952,0.244556,0.087492
167,24,0.639913,0.271031,0.089056
140,25,0.626607,0.283348,0.090045
26,28,0.561333,0.342269,0.096398
253,30,0.677316,0.235361,0.087323
101,33,0.606981,0.301158,0.091861
270,33,0.683727,0.228969,0.087304
44,35,0.573633,0.331211,0.095156
181,35,0.648038,0.263317,0.088645
245,35,0.674955,0.237645,0.087399
211,37,0.661688,0.250399,0.087914
30,38,0.565286,0.338599,0.096115
54,38,0.580224,0.325270,0.094507
69,38,0.589294,0.317108,0.093598
116,38,0.615812,0.293091,0.091098
7,39,0.550817,0.351393,0.097790
159,39,0.638002,0.272667,0.089331
189,39,0.652197,0.259348,0.088456
13,40,0.554747,0.347912,0.097341
73,40,0.591900,0.314735,0.093365
175,40,0.645883,0.265271,0.088845
213,40,0.662877,0.249227,0.087896
2,41,0.547930,0.353889,0.098182
25,41,0.562513,0.341018,0.096469
77,41,0.594369,0.312494,0.093136
142,41,0.629715,0.280325,0.089960
222,41,0.666707,0.245574,0.087719
143,42,0.630357,0.279714,0.089928
165,45,0.641651,0.269173,0.089176
94,46,0.604777,0.303016,0.092208
125,46,0.621548,0.287745,0.090708
67,49,0.589531,0.316760,0.093709
237,49,0.673585,0.238837,0.087578
46,51,0.577034,0.327931,0.095035
150,53,0.635228,0.275046,0.089726
200,53,0.658799,0.252931,0.088270
38,55,0.572580,0.331819,0.095601
132,55,0.626300,0.283243,0.090457
179,55,0.649465,0.261732,0.088803
228,55,0.670755,0.241498,0.087747
107,56,0.613113,0.295296,0.091592
243,56,0.676718,0.235674,0.087608
82,57,0.599189,0.307930,0.092881
113,57,0.616466,0.292218,0.091317
207,58,0.662467,0.249390,0.088143
261,58,0.683542,0.228925,0.087533
37,59,0.572432,0.331878,0.095690
51,59,0.581051,0.324201,0.094748
163,59,0.642340,0.268351,0.089309
71,60,0.593131,0.313343,0.093526
255,60,0.681620,0.230795,0.087585
140,62,0.631259,0.278568,0.090173
154,62,0.638284,0.272079,0.089636
248,62,0.679268,0.233080,0.087652
8,63,0.554668,0.347403,0.097929
104,63,0.612291,0.295951,0.091757
208,63,0.663459,0.248384,0.088157
222,64,0.669361,0.242689,0.087950
180,65,0.651075,0.260074,0.088851
196,65,0.658341,0.253211,0.088448
68,66,0.592036,0.314185,0.093779
96,68,0.608405,0.299373,0.092222
232,68,0.673787,0.238339,0.087874
24,69,0.565546,0.337685,0.096769
84,69,0.601663,0.305448,0.092888
138,70,0.631201,0.278454,0.090344
40,71,0.575781,0.328571,0.095648
267,72,0.686973,0.225250,0.087777
121,73,0.622765,0.286162,0.091073
180,73,0.651943,0.259115,0.088942
217,75,0.668462,0.243368,0.088170
120,76,0.622565,0.286283,0.091153
259,78,0.684766,0.227319,0.087915
58,79,0.587577,0.317819,0.094604
120,80,0.623003,0.285790,0.091206
250,80,0.681776,0.230251,0.087973
20,81,0.564725,0.337945,0.097330
59,81,0.588384,0.317039,0.094576
107,82,0.616093,0.292058,0.091849
218,82,0.669529,0.242190,0.088281
246,83,0.680573,0.231368,0.088059
31,86,0.572195,0.331182,0.096623
98,89,0.611829,0.295738,0.092434
15,90,0.562691,0.339336,0.097973
140,90,0.634419,0.274997,0.090584
226,91,0.673519,0.238122,0.088358
75,92,0.599106,0.307078,0.093816
154,92,0.641523,0.268342,0.090135
240,93,0.679040,0.232652,0.088309
20,94,0.566364,0.335945,0.097691
160,94,0.644625,0.265416,0.089958
0,95,0.553568,0.347029,0.099403
149,95,0.639315,0.270320,0.090365
45,96,0.582001,0.322123,0.095876
113,97,0.620929,0.287223,0.091848
177,97,0.652873,0.257660,0.089467
185,97,0.656511,0.254250,0.089240
204,97,0.664817,0.246357,0.088826
200,98,0.663176,0.247893,0.088932
89,99,0.607982,0.298875,0.093143
260,99,0.686302,0.225229,0.088469
262,99,0.686978,0.224549,0.088473
60,101,0.591504,0.313503,0.094994
89,101,0.608222,0.298585,0.093194
136,101,0.633425,0.275642,0.090933
17,103,0.565501,0.336266,0.098233
110,103,0.619987,0.287871,0.092142
190,104,0.659300,0.251387,0.089313
240,104,0.679577,0.231820,0.088603
90,105,0.609256,0.297501,0.093243
164,105,0.647474,0.262451,0.090075
221,106,0.672666,0.238548,0.088786
3,107,0.557053,0.343431,0.099517
24,107,0.570399,0.331790,0.097810
231,107,0.676453,0.234809,0.088739
254,107,0.684609,0.226721,0.088670
154,109,0.643136,0.266382,0.090483
63,110,0.594401,0.310548,0.095051
77,110,0.602489,0.303373,0.094138
47,111,0.585027,0.318774,0.096199
181,111,0.655794,0.254467,0.089738
31,114,0.575549,0.326940,0.097511
60,115,0.593246,0.311339,0.095414
126,117,0.629939,0.278278,0.091783
207,117,0.667504,0.243141,0.089355
170,118,0.651431,0.258314,0.090254
36,119,0.579182,0.323501,0.097317
81,120,0.605900,0.299878,0.094223
61,121,0.594500,0.309943,0.095558
111,121,0.622467,0.284932,0.092601
140,121,0.637451,0.271239,0.091310
144,121,0.639437,0.269400,0.091162
