Epoch,Cost,Baseline,Best
0,139954.9632,77378.0,139954.9632
1,151715.3412,77378.0,139954.9632
2,245556.8268,306065.0952,139954.9632
3,311148.7328,306065.0952,139954.9632
4,311275.5096,306065.0952,139954.9632
5,308896.3428,306065.0952,139954.9632
6,312134.4236,306065.0952,139954.9632
7,309311.2064,306065.0952,139954.9632
8,308144.7216,306065.0952,139954.9632
9,312116.3124,306065.0952,139954.9632
10,310699.1004,306065.0952,139954.9632
11,308423.5296,306065.0952,139954.9632
12,311119.9944,306065.0952,139954.9632
13,305874.9336,306065.0952,139954.9632
14,310365.4792,306065.0952,139954.9632
15,306065.0952,306065.0952,139954.9632
16,305684.772,306065.0952,139954.9632
17,307102.2872,306065.0952,139954.9632
18,405779.8528,306065.0952,139954.9632
19,305542.1508,306065.0952,139954.9632
20,405922.474,306065.0952,139954.9632
21,305589.6912,306065.0952,139954.9632
22,309789.9892,306065.0952,139954.9632
23,312968.6156,306065.0952,139954.9632
24,308424.07,306065.0952,139954.9632
25,309148.9084,306065.0952,139954.9632
26,307760.5852,306065.0952,139954.9632
27,308583.07,306065.0952,139954.9632
28,306065.0952,306065.0952,139954.9632
29,306065.0952,306065.0952,139954.9632
30,309529.56,306065.0952,139954.9632
31,313597.7216,306065.0952,139954.9632
32,308356.4488,306065.0952,139954.9632
33,307606.9388,306065.0952,139954.9632
34,309292.1256,306065.0952,139954.9632
35,310992.858,306065.0952,139954.9632
36,305779.8528,306065.0952,139954.9632
37,309816.56,306065.0952,139954.9632
38,311369.6964,306065.0952,139954.9632
39,309355.156,306065.0952,139954.9632
40,309809.262,306065.0952,139954.9632
41,312659.7216,306065.0952,139954.9632
42,307989.8276,306065.0952,139954.9632
43,310098.5852,306065.0952,139954.9632
44,310234.5044,306065.0952,139954.9632
45,309896.752,306065.0952,139954.9632
46,311348.9944,306065.0952,139954.9632
47,312240.9136,306065.0952,139954.9632
48,309044.5044,306065.0952,139954.9632
49,308842.964,306065.0952,139954.9632
50,310511.5852,306065.0952,139954.9632
51,311690.2064,306065.0952,139954.9632
52,310394.6104,306065.0952,139954.9632
53,311316.2872,306065.0952,139954.9632
54,308040.2872,306065.0952,139954.9632
55,311748.0196,306065.0952,139954.9632
56,305732.3124,306065.0952,139954.9632
57,311846.4288,306065.0952,139954.9632
58,307507.6912,306065.0952,139954.9632
59,310973.5852,306065.0952,139954.9632
60,306065.0952,306065.0952,139954.9632
61,311524.262,306065.0952,139954.9632
62,309864.964,306065.0952,139954.9632
63,306065.0952,306065.0952,139954.9632
64,312183.7216,306065.0952,139954.9632
65,306065.0952,306065.0952,139954.9632
66,306967.5296,306065.0952,139954.9632
67,309053.2316,306065.0952,139954.9632
68,308280.6104,306065.0952,139954.9632
69,313729.2316,306065.0952,139954.9632
70,305874.9336,306065.0952,139954.9632
71,305589.6912,306065.0952,139954.9632
72,309336.5044,306065.0952,139954.9632
73,305827.3932,306065.0952,139954.9632
74,306065.0952,306065.0952,139954.9632
75,305779.8528,306065.0952,139954.9632
76,305542.1508,306065.0952,139954.9632
77,405922.474,306065.0952,139954.9632
78,306065.0952,306065.0952,139954.9632
79,311568.5852,306065.0952,139954.9632
80,306373.1256,306065.0952,139954.9632
81,310958.7216,306065.0952,139954.9632
82,305589.6912,306065.0952,139954.9632
83,308697.9892,306065.0952,139954.9632
84,311748.8276,306065.0952,139954.9632
85,305494.6104,306065.0952,139954.9632
86,309157.666,306065.0952,139954.9632
87,310243.858,306065.0952,139954.9632
88,305447.07,306065.0952,139954.9632
89,305779.8528,306065.0952,139954.9632
90,306065.0952,306065.0952,139954.9632
91,309221.858,306065.0952,139954.9632
92,308246.772,306065.0952,139954.9632
93,307329.2064,306065.0952,139954.9632
94,305827.3932,306065.0952,139954.9632
95,305589.6912,306065.0952,139954.9632
96,311284.772,306065.0952,139954.9632
97,305494.6104,306065.0952,139954.9632
98,305637.2316,306065.0952,139954.9632
99,309164.964,306065.0952,139954.9632
100,311746.2368,306065.0952,139954.9632
101,305637.2316,306065.0952,139954.9632
