Epoch,Cost,Baseline,Best
0,253825.72,260493.0,253825.72
1,140681.68,100000.0,140681.68
2,336969.45999999996,256541.22,140681.68
3,351900.22,256541.22,140681.68
4,349964.26,256541.22,140681.68
5,347948.74,256541.22,140681.68
6,352603.0,256541.22,140681.68
7,354592.0,256541.22,140681.68
8,355175.44,256541.22,140681.68
9,254737.86,256541.22,140681.68
10,300342.68,256541.22,140681.68
11,255666.06,256541.22,140681.68
12,305335.6,256541.22,140681.68
13,286451.9,256541.22,140681.68
14,312319.54000000004,256541.22,140681.68
15,309628.02,256541.22,140681.68
16,325630.1,256541.22,140681.68
17,315476.76,256541.22,140681.68
18,273969.83999999997,256541.22,140681.68
19,280125.72,256541.22,140681.68
20,287835.36,256541.22,140681.68
21,292084.6,256541.22,140681.68
22,315302.5,256541.22,140681.68
23,257900.28,256541.22,140681.68
24,265341.3,256541.22,140681.68
25,353199.69999999995,256541.22,140681.68
26,352178.68,256541.22,140681.68
27,355016.32,256541.22,140681.68
28,256541.22,256541.22,140681.68
29,272389.4,256541.22,140681.68
30,283494.16000000003,256541.22,140681.68
31,256445.94,256541.22,140681.68
32,275727.44,256541.22,140681.68
33,350309.02,256541.22,140681.68
34,269664.3,256541.22,140681.68
35,352351.06,256541.22,140681.68
36,269450.06,256541.22,140681.68
37,354088.12,256541.22,140681.68
38,352510.18,256541.22,140681.68
39,353279.26,256541.22,140681.68
40,348770.86,256541.22,140681.68
41,319539.24,256541.22,140681.68
42,296105.28,256541.22,140681.68
43,343201.66000000003,256541.22,140681.68
44,305235.9,256541.22,140681.68
45,322197.82,256541.22,140681.68
46,341015.32,256541.22,140681.68
47,392349.06,256541.22,140681.68
48,561524.7,256541.22,140681.68
49,454634.48,256541.22,140681.68
50,610010.46,256541.22,140681.68
51,452899.57999999996,256541.22,140681.68
52,403253.78,100000.0,140681.68
53,352959.2,100000.0,140681.68
54,306523.36,100000.0,140681.68
55,289722.3,100000.0,140681.68
56,329017.74,100000.0,140681.68
57,297635.12,100000.0,140681.68
58,326498.24,256541.22,140681.68
59,315435.18,256541.22,140681.68
60,294869.3,256541.22,140681.68
61,328872.6,256541.22,140681.68
62,321831.83999999997,256541.22,140681.68
63,335476.6,256541.22,140681.68
64,313033.19999999995,256541.22,140681.68
65,296894.45999999996,256541.22,140681.68
66,329954.3,256541.22,140681.68
67,318975.48,256541.22,140681.68
68,320123.26,256541.22,140681.68
69,324915.82,256541.22,140681.68
70,281190.98,256541.22,140681.68
71,300814.48,256541.22,140681.68
72,315987.88,256541.22,140681.68
73,308071.82,256541.22,140681.68
74,296237.38,256541.22,140681.68
75,287739.54000000004,256541.22,140681.68
76,297049.1,256541.22,140681.68
77,284534.6,256541.22,140681.68
78,352616.26,256541.22,140681.68
79,310108.14,256541.22,140681.68
80,265238.94,256541.22,140681.68
81,350653.78,256541.22,140681.68
82,296260.98,256541.22,140681.68
83,264971.28,256541.22,140681.68
84,347962.0,256541.22,140681.68
85,352244.98,256541.22,140681.68
86,266943.12,256541.22,140681.68
87,291415.76,256541.22,140681.68
88,257559.66,256541.22,140681.68
89,254313.54,256541.22,140681.68
90,255971.4,256541.22,140681.68
91,254698.08,256541.22,140681.68
92,256541.22,256541.22,140681.68
93,262063.38,256541.22,140681.68
94,257755.97999999998,256541.22,140681.68
95,253716.84,256541.22,140681.68
96,258054.36,256541.22,140681.68
97,309814.69999999995,256541.22,140681.68
98,256541.22,256541.22,140681.68
99,303140.52,256541.22,140681.68
100,281915.3,256541.22,140681.68
101,256413.9,256541.22,140681.68
