Epoch,Cost,Baseline,Best
0,168097.86,119332.0,168097.86
1,107481.3,104877.18,107481.3
2,196272.1,104877.18,107481.3
3,202279.41999999998,104877.18,107481.3
4,104877.18,104877.18,104877.18
5,104877.18,104877.18,104877.18
6,104877.18,104877.18,104877.18
7,104877.18,104877.18,104877.18
8,104877.18,104877.18,104877.18
9,104877.18,104877.18,104877.18
10,104877.18,104877.18,104877.18
11,104877.18,104877.18,104877.18
12,104877.18,104877.18,104877.18
13,104877.18,104877.18,104877.18
14,104877.18,104877.18,104877.18
15,104877.18,104877.18,104877.18
16,104877.18,104877.18,104877.18
17,104877.18,104877.18,104877.18
18,103851.36,104877.18,103851.36
19,104877.18,104877.18,103851.36
20,103548.78,104877.18,103548.78
21,104877.18,104877.18,103548.78
22,104286.78,104877.18,103548.78
23,104877.18,104877.18,103548.78
24,103873.5,104877.18,103548.78
25,104877.18,104877.18,103548.78
26,104877.18,104877.18,103548.78
27,127583.81999999999,104877.18,103548.78
28,104877.18,104877.18,103548.78
29,104877.18,104877.18,103548.78
30,104220.36,104877.18,103548.78
31,104877.18,104877.18,103548.78
32,104877.18,104877.18,103548.78
33,103150.26,104877.18,103150.26
34,104877.18,104877.18,103150.26
35,104286.78,104877.18,103150.26
36,104877.18,104877.18,103150.26
37,104877.18,104877.18,103150.26
38,104877.18,104877.18,103150.26
39,104877.18,104877.18,103150.26
40,104877.18,104877.18,103150.26
41,104168.7,104877.18,103150.26
42,104877.18,104877.18,103150.26
43,104877.18,104877.18,103150.26
44,104877.18,104877.18,103150.26
45,104877.18,104877.18,103150.26
46,104877.18,104877.18,103150.26
47,104877.18,104877.18,103150.26
48,104877.18,104877.18,103150.26
49,104877.18,104877.18,103150.26
50,104877.18,104877.18,103150.26
51,118927.26,104877.18,103150.26
52,104877.18,104877.18,103150.26
53,104877.18,104877.18,103150.26
54,104877.18,104877.18,103150.26
55,104877.18,104877.18,103150.26
56,104877.18,104877.18,103150.26
57,104877.18,104877.18,103150.26
58,203755.41999999998,104877.18,103150.26
59,104877.18,104877.18,103150.26
60,104877.18,104877.18,103150.26
61,104877.18,104877.18,103150.26
62,104877.18,104877.18,103150.26
63,104877.18,104877.18,103150.26
64,103718.52,104877.18,103150.26
65,104877.18,104877.18,103150.26
66,104877.18,104877.18,103150.26
67,104877.18,104877.18,103150.26
68,104877.18,104877.18,103150.26
69,104877.18,104877.18,103150.26
70,104877.18,104877.18,103150.26
71,104877.18,104877.18,103150.26
72,104877.18,104877.18,103150.26
73,104530.31999999999,104877.18,103150.26
74,104877.18,104877.18,103150.26
75,104367.95999999999,104877.18,103150.26
76,104877.18,104877.18,103150.26
77,104877.18,104877.18,103150.26
78,104877.18,104877.18,103150.26
79,104877.18,104877.18,103150.26
80,104877.18,104877.18,103150.26
81,104877.18,104877.18,103150.26
82,104877.18,104877.18,103150.26
83,104877.18,104877.18,103150.26
84,104877.18,104877.18,103150.26
85,104877.18,104877.18,103150.26
86,104877.18,104877.18,103150.26
87,104877.18,104877.18,103150.26
88,104877.18,104877.18,103150.26
89,104877.18,104877.18,103150.26
90,104877.18,104877.18,103150.26
91,104877.18,104877.18,103150.26
92,104877.18,104877.18,103150.26
93,104877.18,104877.18,103150.26
94,104877.18,104877.18,103150.26
95,104877.18,104877.18,103150.26
96,104877.18,104877.18,103150.26
97,104877.18,104877.18,103150.26
98,104877.18,104877.18,103150.26
99,104877.18,104877.18,103150.26
100,104877.18,104877.18,103150.26
101,104877.18,104877.18,103150.26
102,104877.18,104877.18,103150.26
103,103231.44,104877.18,103150.26
104,104877.18,104877.18,103150.26
105,104877.18,104877.18,103150.26
106,104877.18,104877.18,103150.26
107,104877.18,104877.18,103150.26
108,104877.18,104877.18,103150.26
109,104877.18,104877.18,103150.26
110,104877.18,104877.18,103150.26
111,104286.78,104877.18,103150.26
112,104877.18,104877.18,103150.26
113,104877.18,104877.18,103150.26
114,104198.22,104877.18,103150.26
115,104877.18,104877.18,103150.26
116,104877.18,104877.18,103150.26
117,104877.18,104877.18,103150.26
118,104877.18,104877.18,103150.26
119,104877.18,104877.18,103150.26
120,104877.18,104877.18,103150.26
121,104877.18,104877.18,103150.26
122,104877.18,104877.18,103150.26
123,104877.18,104877.18,103150.26
124,104877.18,104877.18,103150.26
125,104877.18,104877.18,103150.26
126,104877.18,104877.18,103150.26
127,104877.18,104877.18,103150.26
128,104877.18,104877.18,103150.26
129,104131.8,104877.18,103150.26
130,104877.18,104877.18,103150.26
131,104877.18,104877.18,103150.26
132,104877.18,104877.18,103150.26
133,104877.18,104877.18,103150.26
