Epoch,Cost,Baseline,Best
0,513647.57119999995,744496.2396,513647.57119999995
1,771508.1508,744496.2396,513647.57119999995
2,769884.8979999999,744496.2396,513647.57119999995
3,759438.1371999999,744496.2396,513647.57119999995
4,743703.5412,744496.2396,513647.57119999995
5,744496.2396,744496.2396,513647.57119999995
6,743642.5643999999,744496.2396,513647.57119999995
7,744496.2396,744496.2396,513647.57119999995
8,744496.2396,744496.2396,513647.57119999995
9,743703.5412,744496.2396,513647.57119999995
10,744496.2396,744496.2396,513647.57119999995
11,744496.2396,744496.2396,513647.57119999995
12,744496.2396,744496.2396,513647.57119999995
13,744496.2396,744496.2396,513647.57119999995
14,744496.2396,744496.2396,513647.57119999995
15,744496.2396,744496.2396,513647.57119999995
16,744496.2396,744496.2396,513647.57119999995
17,842941.3311999999,744496.2396,513647.57119999995
18,744496.2396,744496.2396,513647.57119999995
19,744496.2396,744496.2396,513647.57119999995
20,743795.0064,744496.2396,513647.57119999995
21,744496.2396,744496.2396,513647.57119999995
22,744496.2396,744496.2396,513647.57119999995
23,744496.2396,744496.2396,513647.57119999995
24,743124.2616,744496.2396,513647.57119999995
25,743642.5643999999,744496.2396,513647.57119999995
26,744496.2396,744496.2396,513647.57119999995
27,744496.2396,744496.2396,513647.57119999995
28,744496.2396,744496.2396,513647.57119999995
29,743916.96,744496.2396,513647.57119999995
30,743185.2383999999,744496.2396,513647.57119999995
31,744496.2396,744496.2396,513647.57119999995
32,744496.2396,744496.2396,513647.57119999995
33,743642.5643999999,744496.2396,513647.57119999995
34,744496.2396,744496.2396,513647.57119999995
35,769964.7719999999,744496.2396,513647.57119999995
36,743703.5412,744496.2396,513647.57119999995
37,743925.3995999999,744496.2396,513647.57119999995
38,743703.5412,744496.2396,513647.57119999995
39,743703.5412,744496.2396,513647.57119999995
40,741996.1907999999,744496.2396,513647.57119999995
41,744496.2396,744496.2396,513647.57119999995
42,744496.2396,744496.2396,513647.57119999995
43,744496.2396,744496.2396,513647.57119999995
44,744496.2396,744496.2396,513647.57119999995
45,744496.2396,744496.2396,513647.57119999995
46,744496.2396,744496.2396,513647.57119999995
47,766918.0515999999,744496.2396,513647.57119999995
48,744496.2396,744496.2396,513647.57119999995
49,744496.2396,744496.2396,513647.57119999995
50,744496.2396,744496.2396,513647.57119999995
51,744496.2396,744496.2396,513647.57119999995
52,744496.2396,744496.2396,513647.57119999995
53,744496.2396,744496.2396,513647.57119999995
54,744496.2396,744496.2396,513647.57119999995
55,744496.2396,744496.2396,513647.57119999995
56,744496.2396,744496.2396,513647.57119999995
57,744496.2396,744496.2396,513647.57119999995
58,744496.2396,744496.2396,513647.57119999995
59,843002.308,744496.2396,513647.57119999995
60,744496.2396,744496.2396,513647.57119999995
61,744496.2396,744496.2396,513647.57119999995
62,744496.2396,744496.2396,513647.57119999995
63,744496.2396,744496.2396,513647.57119999995
64,744496.2396,744496.2396,513647.57119999995
65,744496.2396,744496.2396,513647.57119999995
66,744496.2396,744496.2396,513647.57119999995
67,744496.2396,744496.2396,513647.57119999995
68,744496.2396,744496.2396,513647.57119999995
69,744496.2396,744496.2396,513647.57119999995
70,744496.2396,744496.2396,513647.57119999995
71,744496.2396,744496.2396,513647.57119999995
72,744496.2396,744496.2396,513647.57119999995
73,744496.2396,744496.2396,513647.57119999995
74,743703.5412,744496.2396,513647.57119999995
75,744496.2396,744496.2396,513647.57119999995
76,744496.2396,744496.2396,513647.57119999995
77,744496.2396,744496.2396,513647.57119999995
78,744496.2396,744496.2396,513647.57119999995
79,743886.4715999999,744496.2396,513647.57119999995
80,744496.2396,744496.2396,513647.57119999995
81,744496.2396,744496.2396,513647.57119999995
82,743703.5412,744496.2396,513647.57119999995
83,744496.2396,744496.2396,513647.57119999995
84,744496.2396,744496.2396,513647.57119999995
85,744496.2396,744496.2396,513647.57119999995
86,744496.2396,744496.2396,513647.57119999995
87,744496.2396,744496.2396,513647.57119999995
88,744496.2396,744496.2396,513647.57119999995
89,744496.2396,744496.2396,513647.57119999995
90,744496.2396,744496.2396,513647.57119999995
91,744496.2396,744496.2396,513647.57119999995
92,744496.2396,744496.2396,513647.57119999995
93,744496.2396,744496.2396,513647.57119999995
94,744496.2396,744496.2396,513647.57119999995
95,751899.7731999999,744496.2396,513647.57119999995
96,744496.2396,744496.2396,513647.57119999995
97,744496.2396,744496.2396,513647.57119999995
98,744496.2396,744496.2396,513647.57119999995
99,743703.5412,744496.2396,513647.57119999995
100,744496.2396,744496.2396,513647.57119999995
101,843642.5643999999,744496.2396,513647.57119999995
